work_id,composer,title,catalog_system,catalog_number,recording_count
work_e91c396dcd95,"Beethoven, Ludwig van",Piano Sonata No. 12 in A flat Major,Op,26,1
work_5b3a32007b1b,"Beethoven, Ludwig van","Piano Sonata No. 13 in E flat major (""Quasi una fantasia"")",Op,27,2
work_567fb7bc5200,"Beethoven, Ludwig van",Violin Sonata No.6 in A-dur,Op,30 No.1,1
work_719a920bcc05,"Beethoven, Ludwig van",Violin Sonata No.7 in c-moll,Op,30 No.2,1
work_102bd3918fbd,"Beethoven, Ludwig van",Violin Sonata No.8 in G-dur,Op,30 No.3,1
work_75a6a6cbc271,"Beethoven, Ludwig van",Piano Sonata No. 18 in E flat Major,Op,31,1
work_d5cdf927c904,"Beethoven, Ludwig van",Sonata no 18 in EbM,Op,31 No.3,1
work_80c3b9112805,"Beethoven, Ludwig van",Symphonie No.2 D-Dur,Op,36,2
work_24729e339c3c,"Beethoven, Ludwig van",Piano Concerto No.3 in C minor,Op,37,1
work_1c6a8b6228b1,"Beethoven, Ludwig van",Violin Sonata No.9 in A-dur,Op,47,1
work_6a15f2073deb,"Beethoven, Ludwig van",Piano Sonata No. 19 in G minor,Op,49,1
work_f4ab55bfe086,"Beethoven, Ludwig van",Sonata no 19 in Gm,Op,49 No.1,1
work_7563aa54315f,"Beethoven, Ludwig van",Sonata no 20 in GM,Op,49 No.2,1
work_4e0c4a7fd9dd,"Beethoven, Ludwig van",Piano Sonata No. 21 in C Major,Op,53,2
work_dd0441f66373,"Beethoven, Ludwig van",Sonata no 22 in F major,Op,54,1
work_97e4c03d34de,"Beethoven, Ludwig van",Symphony No.3 in E-flat major,Op,55,2
work_dadf8a2b450d,"Beethoven, Ludwig van",Sonata no 23 in F minor,Op,57,1
work_988e574a8e9f,"Beethoven, Ludwig van",Piano Concerto No.4 in G,Op,58,1
work_e54c84b7959e,"Beethoven, Ludwig van",Symphonie No.4 B-Dur,Op,60,3
work_9adedd0f2751,"Beethoven, Ludwig van",Overture 'Coriolan',Op,62,1
work_4b03c978979f,"Beethoven, Ludwig van",Symphonie No. 5 In C-Moll,Op,67,2
work_10a2e7b123f5,"Beethoven, Ludwig van",Symphonie No. 6 F-Dur,Op,68,2
work_b5beee8663e6,"Beethoven, Ludwig van",Overture 'Fidelio',Op,72,2
work_87287351b770,"Beethoven, Ludwig van",Piano Concerto No.5 in E flat major,Op,73,2
work_b6ced3bf71f4,"Beethoven, Ludwig van",Sonata no 24 in F# major,Op,78,1
work_8d15454488aa,"Beethoven, Ludwig van",Sonata no 25 in G major,Op,79,1
work_165489019154,"Beethoven, Ludwig van",Sonata no 26 in Eb major Op 81a 'Les Adieux' I Das Lebewohl (Les Adieux). Adagio,Op,81,1
work_cc78b1e78574,"Beethoven, Ludwig van",'Egmont' Overture,Op,84,1
work_8f6d77e79098,"Beethoven, Ludwig van","Piano Sonata No. 27 in E minor, Op. 90I. Mit Liebhaftigkeit und durchaus mit Empfindung und Ausdruck",Op,90,1
work_112d186057eb,"Beethoven, Ludwig van",Symphonie No.7 A-Dur,Op,92,2
work_aedb0f212094,"Beethoven, Ludwig van",Symphony No.8 in F,Op,93,2
work_d4bebefbece0,"Beethoven, Ludwig van",Violin Sonata No.10 in G-dur,Op,96,1
work_9d40811ccbd9,"Beethoven, Ludwig van","Op. 101 I. Etwas lebhaft und mit innigsten Empfindung - Allegretto, ma non troppo",Op,101,1
work_55290c3c579f,"Beethoven, Ludwig van",Sonata no 29 in Bb major,Op,106,1
work_88fa092e1d5f,"Beethoven, Ludwig van",Sonata no 30 in E major,Op,109,1
work_cdf85ee7d296,"Beethoven, Ludwig van",Sonata no 31 in A flat major,Op,110,1
work_c37b18f84753,"Beethoven, Ludwig van",Sonata no 32 in C minor,Op,111,1
work_c5456328afc8,"Beethoven, Ludwig van",Sinfonie Nr. 9 d-moll,Op,125,3
work_e6b4fdc9d134,"Berlioz, Hector",Applause,,,1
work_038f6b54908d,"Berlioz, Hector",Symphonie fantastique • Lélio • Les Nuits d'été • La Mort de Cléopâtre etc.,,,1
work_38e118a0d318,"Berlioz, Hector","Berlioz, Le Carnaval Romain",Op,9,1
work_0f8e478de267,"Brahms, Johannes",Applause,,,4
work_9779a743b796,"Brahms, Johannes","Brahms, Ein deutsches Requiem",,,1
work_d1955b569299,"Brahms, Johannes",Hungarian Dance No.1 in G minor,,,1
work_3ce64c79c13c,"Brahms, Johannes",Hungarian Dance No.10 in F,,,1
work_fa1e95c242a4,"Brahms, Johannes",Hungarian Dance No.11 in D minor,,,1
work_2fa9c1e121c0,"Brahms, Johannes",Hungarian Dance No.12 in D minor,,,1
work_f9675097afed,"Brahms, Johannes",Hungarian Dance No.13 in D,,,1
work_bd4ccfd61a9d,"Brahms, Johannes",Hungarian Dance No.14 in D minor,,,1
work_21a5106275c5,"Brahms, Johannes",Hungarian Dance No.15 in B flat,,,1
work_5ff0f4e67f16,"Brahms, Johannes",Hungarian Dance No.16 in F minor / major,,,1
work_b4ba0ca05683,"Brahms, Johannes",Hungarian Dance No.17 in F sharp minor,,,1
work_b59993f607a5,"Brahms, Johannes",Hungarian Dance No.18 in D,,,1
work_fe968458101d,"Brahms, Johannes",Hungarian Dance No.19 in B minor,,,1
work_97d277443400,"Brahms, Johannes",Hungarian Dance No.2 in D minor,,,1
work_a9b156e7aeac,"Brahms, Johannes",Hungarian Dance No.20 in E minor,,,1
work_37bdacd1afdd,"Brahms, Johannes",Hungarian Dance No.21 in E minor,,,1
work_538fed86fbfc,"Brahms, Johannes",Hungarian Dance No.3 in F,,,1
work_257e63725d04,"Brahms, Johannes",Hungarian Dance No.4 in F sharp minor,,,1
work_754dfc3620b7,"Brahms, Johannes",Hungarian Dance No.5 in G minor,,,1
work_cd4f22e3a59b,"Brahms, Johannes",Hungarian Dance No.6 in D flat,,,1
work_8e4eb5285ada,"Brahms, Johannes",Hungarian Dance No.7 in F Hungarian Dance No. 7 in A,,,1
work_eef16da53085,"Brahms, Johannes",Hungarian Dance No.8 in A minor,,,1
work_4de31846f0e6,"Brahms, Johannes",Hungarian Dance No.9 in E minor,,,1
work_7915b71b4f18,"Brahms, Johannes",Piano Concerto No.1 in d-moll,Op,15,1
work_c212876dedb0,"Brahms, Johannes",«Wie rafft' ich mich auf in der Nacht» (von Platen),Op,32,1
work_f180bc9b6789,"Brahms, Johannes",«Die Mainacht» (Hölty),Op,43,1
work_d686d9cb10ae,"Brahms, Johannes",«Sonntag» (Volkslied),Op,47,1
work_abc85ac030c8,"Brahms, Johannes",«Wiegenlied» (aus «Des Knaben Wunderhorn»),Op,49,1
work_87cb169df733,"Brahms, Johannes","Variation on a Theme by Joseph Haydn, Op. 56a",Op,56,1
work_bcbfd42b3e1b,"Brahms, Johannes","«Ach, wende diesen Blick» (Daumer)",Op,57,1
work_9816abcb5648,"Brahms, Johannes",«Junge Liebe» («Meine Liebe ist grün») (F. Schumann),Op,63,1
work_d227dbf03b9e,"Brahms, Johannes",Symphonie Nr. 1 c-moll,Op,68,2
work_0e8c6269a306,"Brahms, Johannes",«O kühler Wald» (Brentano),Op,72,1
work_1f847c077a6f,"Brahms, Johannes",Symphonie Nr. 2 D-dur,Op,73,2
work_51199050bd99,"Brahms, Johannes",Piano Concerto No.2 in B-dur,Op,83,1
work_0725a1fefbc6,"Brahms, Johannes",«Vergebliches Ständchen» (Volkslied),Op,84,1
work_dd8745352ddb,"Brahms, Johannes",Symphonie Nr. 3 F-dur,Op,90,3
work_9838dacc0de3,"Brahms, Johannes",Nr. 1. «Gestillte Sehnsucht» (Rückert),Op,91,1
work_0aeb802c45ee,"Brahms, Johannes",«Dort in den Weiden steht ein Haus» (Volkslied),Op,97,1
work_a3ea7d8af742,"Brahms, Johannes",Symphonie Nr. 4 e-moll,Op,98,2
work_852f51f7ce3d,"Brahms, Johannes",Zigeunerlieder,Op,103,1
work_749e2d62d7e3,"Brahms, Johannes",«Ständchen» (Kugler),Op,106,1
work_ac76c7a485c8,"Brahms, Johannes",«Mädchenlied» (Heyse),Op,107,1
work_1a397a0d25eb,"Bruckner, Anton",Anton Bruckner. Symphonie Nr. 7; Manuel de Falla. «El sombrero de tres picos» ; Modest Mussorgsky. «Dawn over the River Moscow»,,,1
work_233a28e099f3,"Bruckner, Anton",Bruckner Overture in G minor,,,1
work_4e19fea19ffb,"Bruckner, Anton",Bruckner Symphony No.0 in D minor,,,1
work_97756e6b2294,"Bruckner, Anton",Bruckner Symphony No.1 in C minor,,,1
work_22020b397928,"Bruckner, Anton",Bruckner Symphony No.2 in C minor,,,1
work_40bc32001104,"Bruckner, Anton",Bruckner Symphony No.3 in D minor,,,1
work_cc9e69b29752,"Bruckner, Anton",Bruckner Symphony No.5 in B flat major,,,1
work_c1065914afde,"Bruckner, Anton",Bruckner Symphony No.6 in A major,,,1
work_b58daf9fc357,"Bruckner, Anton",Bruckner Symphony No.8 in C minor,,,1
work_67ae22f4523a,"Bruckner, Anton",Bruckner Symphony No.9 in D minor,,,1
work_273b6f809653,"Bruckner, Anton",Bruckner The Symphonies,,,1
work_31d54886c81e,"Bruckner, Anton",Bruckners sakrale Symphonik,,,1
work_2e2b1d92c494,"Bruckner, Anton",Symphonie Nr. 0 d-moll,,,1
work_88518959f413,"Bruckner, Anton",Symphonie Nr. 1 c-moll,,,2
work_7501bd0f8a13,"Bruckner, Anton",Symphonie Nr. 2 c-moll,,,2
work_15419a611d90,"Bruckner, Anton",Symphonie Nr. 3 d-moll,,,2
work_2d42ab1e07bb,"Bruckner, Anton",Symphonie Nr. 4 Es-dur,,,1
work_a87b756f94a1,"Bruckner, Anton",Symphonie Nr. 4 Es-dur «Romantische»,,,1
work_ed3ea856ac28,"Bruckner, Anton",Symphonie Nr. 5 B-dur,,,2
work_f1c9091dcb2d,"Bruckner, Anton",Symphonie Nr. 6 A-dur,,,2
work_e6d3d5d8ced4,"Bruckner, Anton",Symphonie Nr. 7 E-dur,,,4
work_0cb5a72326ea,"Bruckner, Anton",Symphonie Nr. 7 E-dur - Adagio,,,1
work_32a74caaa348,"Bruckner, Anton",Symphonie Nr. 7 E-dur - Finale,,,1
work_24088a96ed5c,"Bruckner, Anton",Symphonie Nr. 7 E-dur - IV - Finale,,,1
work_5aa5a1cd3323,"Bruckner, Anton",Symphonie Nr. 7 E-dur - Scherzo - Sehr schnell - Trio,,,1
work_589ffdab4144,"Bruckner, Anton",Symphonie Nr. 8 c-moll,,,2
work_8078e91a4c4b,"Bruckner, Anton",Symphonie Nr. 9,,,1
work_0cd306d25de6,"Bruckner, Anton",Symphonie Nr. 9 d-moll,,,4
work_08150f2caff1,"Bruckner, Anton",Symphonies,,,1
work_bc0805f07003,"Bruckner, Anton",Symphony #5 In B Flat,,,1
work_e2e8dd03f0bb,"Bruckner, Anton",«Helgoland» (Chorballade für vierstimmigen Männerchor und großes Orchester),,,1
work_5826dd4daa0b,"Faure, Gabriel",Applause,,,1
work_ef776a817104,"Faure, Gabriel","Faure, Requiem",Op,48,1
