path,genre_primary,current_albumartist,current_album,current_title,current_artist,current_track,current_disc,flat_albumartist,flat_album,flat_title,flat_artist,flat_genre,flat_track,flat_disc,flat_date,flat_grouping,changed
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/02 - Part One - Es begab sich aber zu der Zeit (Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part One - Es begab sich aber zu der Zeit (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",2,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part One - Es begab sich aber zu der Zeit (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,2,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/03 - Part One - Nun wird mein liebster Brautigam (Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part One - Nun wird mein liebster Brautigam (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",3,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part One - Nun wird mein liebster Brautigam (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,3,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/04 - Part One - Bereite dich, Zion, mit zartlichen Trieben (Aria).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Part One - Bereite dich, Zion, mit zartlichen Trieben (Aria)","Gardiner - Monteverdi Choir, The English Baroque Soloists",4,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Part One - Bereite dich, Zion, mit zartlichen Trieben (Aria)","Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,4,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/05 - Part One - Wie soll ich dich empfangen (Chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part One - Wie soll ich dich empfangen (Chorale),"Gardiner - Monteverdi Choir, The English Baroque Soloists",5,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part One - Wie soll ich dich empfangen (Chorale),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,5,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/06 - Part One - Und sie gebar ihren ersten Sohn (Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part One - Und sie gebar ihren ersten Sohn (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",6,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part One - Und sie gebar ihren ersten Sohn (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,6,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/07 - Part One - Er is auf Erden kommen arm (Chorale) - Wer will die Liebe recht erhohn (Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part One - Er is auf Erden kommen arm (Chorale) - Wer will die Liebe recht erhohn (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",7,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part One - Er is auf Erden kommen arm (Chorale) - Wer will die Liebe recht erhohn (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,7,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/08 - Part One - GroBer Herr und starker Konig (Aria).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part One - GroBer Herr und starker Konig (Aria),"Gardiner - Monteverdi Choir, The English Baroque Soloists",8,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part One - GroBer Herr und starker Konig (Aria),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,8,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/09 - Part One - Ach mein herzliebes Jesulein (Chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part One - Ach mein herzliebes Jesulein (Chorale),"Gardiner - Monteverdi Choir, The English Baroque Soloists",9,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part One - Ach mein herzliebes Jesulein (Chorale),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,9,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/10 - Part Two - Sinfonia.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part Two - Sinfonia,"Gardiner - Monteverdi Choir, The English Baroque Soloists",10,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part Two - Sinfonia,"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,10,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/11 - Part Two - Und es waren Hirten in derselben Gegend (Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Part Two - Und es waren Hirten in derselben Gegend (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",11,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Part Two - Und es waren Hirten in derselben Gegend (Recitative),"Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,11,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
